date,open,high,low,close,volume
2025-04-01 00:00:00+05:30,163.0,167.1,162.1,166.38,1359087
2025-04-02 00:00:00+05:30,168.25,169.0,164.44,168.27,882552
2025-04-03 00:00:00+05:30,167.0,174.27,166.57,172.37,2132498
2025-04-04 00:00:00+05:30,172.24,172.24,162.8,163.87,1322888
2025-04-07 00:00:00+05:30,143.99,159.85,143.01,157.91,1454306
2025-04-08 00:00:00+05:30,162.0,168.2,160.51,167.18,1329385
2025-04-09 00:00:00+05:30,167.17,168.0,161.01,166.29,1033543
2025-04-11 00:00:00+05:30,169.39,173.0,166.79,172.64,2299488
2025-04-15 00:00:00+05:30,174.05,177.4,174.05,176.18,1304872
2025-04-16 00:00:00+05:30,176.55,177.38,175.16,176.48,705969
2025-04-17 00:00:00+05:30,176.02,180.9,176.02,180.06,1444119
2025-04-21 00:00:00+05:30,182.0,182.4,177.88,179.72,1242534
2025-04-22 00:00:00+05:30,181.0,182.1,179.05,179.77,1247863
2025-04-23 00:00:00+05:30,183.0,186.75,180.9,182.36,2363268
2025-04-24 00:00:00+05:30,182.36,187.0,181.77,186.26,1980283
2025-04-25 00:00:00+05:30,186.5,187.22,178.21,179.49,1971126
2025-04-28 00:00:00+05:30,176.0,180.59,175.61,180.15,1144411
2025-04-29 00:00:00+05:30,181.9,183.28,179.5,180.28,1377755
2025-04-30 00:00:00+05:30,180.28,182.3,176.0,176.55,1485502
2025-05-02 00:00:00+05:30,178.05,181.54,177.5,180.64,1936846
2025-05-05 00:00:00+05:30,176.9,176.9,171.64,175.76,1043379
2025-05-06 00:00:00+05:30,174.61,175.84,166.1,169.2,1327055
2025-05-07 00:00:00+05:30,168.59,173.79,167.71,173.38,1165937
2025-05-08 00:00:00+05:30,174.2,175.8,168.01,173.36,821162
2025-05-09 00:00:00+05:30,166.79,172.4,166.5,171.34,852563
2025-05-12 00:00:00+05:30,176.01,178.64,175.16,176.47,964555
2025-05-13 00:00:00+05:30,177.0,184.0,176.25,183.13,1529885
2025-05-14 00:00:00+05:30,184.0,186.5,183.61,185.35,1187709
2025-05-15 00:00:00+05:30,186.8,187.99,185.25,187.09,1153314
2025-05-16 00:00:00+05:30,188.4,188.4,185.0,185.99,664421
2025-05-19 00:00:00+05:30,186.99,189.8,184.62,186.87,773120
2025-05-20 00:00:00+05:30,188.5,189.4,182.04,182.87,1251731
